date,capital,window
2021-04-14 11:45:00,-0.02348391584661427,2
2021-05-14 11:45:00,-0.02348391584661427,3
2021-06-13 11:45:00,-0.02348391584661427,4
2021-07-13 11:45:00,-0.02348391584661427,5
2021-08-12 11:45:00,-0.02348391584661427,6
2021-09-11 11:45:00,-0.02348391584661427,7
2021-10-11 11:45:00,-0.02348391584661427,8
2021-11-10 11:45:00,-0.02348391584661427,9
2021-12-10 11:45:00,-0.02348391584661427,10
2022-01-09 11:45:00,-0.02348391584661427,11
2022-02-08 11:45:00,-0.02348391584661427,12
2022-03-10 11:45:00,-0.02348391584661427,13
2022-04-09 11:45:00,-0.02348391584661427,14
2022-05-09 11:45:00,-0.02348391584661427,15
