window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
1,0.008821638725917982,0.012317718402898047,0.5922496570644719,0.5219512195121951,0.08931552587646077,0.15253029223093373,0.5490956988850257,0.0,0.0,0.0,0.5714285714285714,0.00333889816360601,0.006639004149377594,2916,0.4108367626886145,SOLEUR,2021-05-28,2021-08-28,2021-09-28
2,0.0047505459539057115,0.006528247212037635,0.5945945945945946,0.4181222707423581,0.38686868686868686,0.40188877229800624,0.5575918349244364,0.0,0.0,0.0,0.0,0.0,0.0,2812,0.35206258890469416,SOLEUR,2021-06-28,2021-09-28,2021-10-28
3,0.004426387420419376,0.0059680042035572785,0.6145404663923183,0.3741935483870968,0.1727904667328699,0.23641304347826084,0.5290998630331525,0.5,0.006951340615690168,0.013712047012732615,0.425,0.033763654419066536,0.062557497700092,2916,0.3453360768175583,SOLEUR,2021-07-28,2021-10-28,2021-11-28
4,0.004688979687335015,0.006503024420923919,0.5854609929078014,0.4009009009009009,0.35850956696878145,0.37852206273258904,0.5421287821537848,0.6363636363636364,0.007049345417925478,0.013944223107569723,0.43283582089552236,0.05840886203423968,0.10292812777284828,2820,0.35212765957446807,SOLEUR,2021-08-28,2021-11-28,2021-12-28
5,0.004655057948036853,0.006980869355502878,0.5929355281207133,0.35294117647058826,0.3879598662207358,0.36962294211364843,0.5557631707253776,0.3888888888888889,0.03121516164994426,0.05779153766769866,0.37677053824362605,0.14827201783723523,0.21280000000000002,2916,0.30761316872427985,SOLEUR,2021-09-28,2021-12-28,2022-01-28
6,0.0045314333811034965,0.006323278665468739,0.5692729766803841,0.3698492462311558,0.3691073219658977,0.36947791164658633,0.533365076992311,0.0,0.0,0.0,0.3333333333333333,0.003009027081243731,0.005964214711729621,2916,0.34190672153635115,SOLEUR,2021-10-28,2022-01-28,2022-02-28
7,0.003353869922882678,0.0045735708790851206,0.5749619482496194,0.30407124681933845,0.2954264524103832,0.29968652037617555,0.5026825073339989,0.0,0.0,0.0,0.0,0.0,0.0,2628,0.3078386605783866,SOLEUR,2021-11-28,2022-02-28,2022-03-28
8,0.0036675352321553587,0.005023969460725197,0.6018518518518519,0.3561643835616438,0.3432343234323432,0.3495798319327731,0.5612654937641248,0.6923076923076923,0.009900990099009901,0.019522776572668113,0.391304347826087,0.07920792079207921,0.13174748398902103,2916,0.3117283950617284,SOLEUR,2021-12-28,2022-03-28,2022-04-28
9,0.006097422826622095,0.010016708551622597,0.574468085106383,0.37869198312236285,0.37010309278350517,0.37434827945776855,0.5273886876567289,0.3838383838383838,0.03917525773195876,0.07109448082319925,0.37393767705382436,0.1360824742268041,0.19954648526077096,2820,0.34397163120567376,SOLEUR,2022-01-28,2022-04-28,2022-05-28
10,0.005957078875829779,0.008382376282141158,0.5281207133058985,0.37067545304777594,0.423728813559322,0.3954305799648506,0.5191701355241479,0.0,0.0,0.0,0.0,0.0,0.0,2916,0.36419753086419754,SOLEUR,2022-02-28,2022-05-28,2022-06-28
11,0.004211683952315649,0.005847741780057009,0.5060283687943262,0.336283185840708,0.48050579557428874,0.39566160520607385,0.5058882201242524,0.0,0.0,0.0,0.0,0.0,0.0,2820,0.3365248226950355,SOLEUR,2022-03-28,2022-06-28,2022-07-28
12,0.0036069798846332787,0.005021788139025901,0.6138545953360768,0.34153005464480873,0.2796420581655481,0.3075030750307503,0.5407569310293705,1.0,0.0011185682326621924,0.0022346368715083797,0.41739130434782606,0.053691275167785234,0.09514370664023786,2916,0.3065843621399177,SOLEUR,2022-04-28,2022-07-28,2022-08-28
13,0.003224390381582608,0.004513304722204873,0.6262002743484225,0.3352685050798258,0.26767091541135574,0.297680412371134,0.5447235738446803,0.3125,0.005793742757821553,0.011376564277588168,0.33505154639175255,0.07531865585168018,0.12298959318826869,2916,0.2959533607681756,SOLEUR,2022-05-28,2022-08-28,2022-09-28
14,0.0023302367350249162,0.0033795674141602213,0.7069882937211778,0.28867924528301886,0.2541528239202658,0.2703180212014134,0.5736033249565049,0.43478260869565216,0.03322259136212625,0.0617283950617284,0.35802469135802467,0.09634551495016612,0.1518324607329843,2819,0.2135509045760908,SOLEUR,2022-06-28,2022-09-28,2022-10-28
15,0.028765303819894644,0.036509373011120956,0.6056241426611797,0.37819025522041766,0.3468085106382979,0.3618201997780244,0.55392475665432,0.4732824427480916,0.06595744680851064,0.11577964519140989,0.41114058355437666,0.16489361702127658,0.2353834472285497,2916,0.3223593964334705,SOLEUR,2022-07-28,2022-10-28,2022-11-28
16,0.0023728530222138665,0.003768825680449655,0.7980120695775648,0.3564356435643564,0.14090019569471623,0.20196353436185133,0.5972770769014042,0.5,0.009784735812133072,0.019193857965451058,0.41304347826086957,0.03718199608610567,0.0682226211849192,2817,0.18139865104721334,SOLEUR,2022-08-28,2022-11-28,2022-12-28
17,0.005049828244847984,0.00985997785269115,0.5454545454545454,0.3931681178834561,0.5834990059642147,0.46978791516606644,0.5838590770724006,0.46153846153846156,0.02982107355864811,0.056022408963585436,0.4498977505112474,0.21868787276341947,0.294314381270903,2915,0.3451114922813036,SOLEUR,2022-09-28,2022-12-28,2023-01-28
18,0.0032667702859885154,0.004754011800688706,0.6345229924502402,0.35986913849509267,0.4084158415841584,0.38260869565217387,0.5658159031715139,0.0,0.0,0.0,0.0,0.0,0.0,2914,0.2772820864790666,SOLEUR,2022-10-28,2023-01-28,2023-02-28
