window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
1,0.24357281085060534,0.4559098458163041,0.6778808971384377,0.3496420047732697,0.504302925989673,0.4129668780831572,0.6539550435443234,0.44370860927152317,0.1153184165232358,0.1830601092896175,0.39344262295081966,0.2891566265060241,0.3333333333333333,2586,0.22467130703789637,ADAEUR,2020-11-13,2021-02-13,2021-03-15
2,0.15302166086007168,0.37561074067941985,0.7975694444444444,0.2607449856733524,0.21875,0.23790849673202613,0.6629688670704295,0.3548387096774194,0.07932692307692307,0.12966601178781925,0.32044198895027626,0.13942307692307693,0.19430485762144054,2880,0.14444444444444443,ADAEUR,2020-12-13,2021-03-13,2021-04-15
3,0.23808299471637218,0.48164458725622084,0.6857764876632801,0.3338368580060423,0.34210526315789475,0.3379204892966361,0.6354107669508312,0.4878048780487805,0.09287925696594428,0.15604681404421328,0.3715170278637771,0.18575851393188855,0.24767801857585142,2756,0.23439767779390422,ADAEUR,2021-01-13,2021-04-13,2021-05-15
4,0.2587012394739886,0.5085842195939715,0.653125,0.36363636363636365,0.45698924731182794,0.4050029779630733,0.6274062663605976,0.4228571428571429,0.1989247311827957,0.27056672760511885,0.3747927031509121,0.30376344086021506,0.33556050482553823,2880,0.25833333333333336,ADAEUR,2021-02-13,2021-05-13,2021-06-15
5,0.13326398592168984,0.3650486688962755,0.8121408045977011,0.27514792899408286,0.25067385444743934,0.2623413258110014,0.6761711886312126,0.29473684210526313,0.07547169811320754,0.1201716738197425,0.2871287128712871,0.15633423180592992,0.2024432809773124,2784,0.13326149425287356,ADAEUR,2021-03-13,2021-06-13,2021-07-15
6,0.13033093940609256,0.36100917866742466,0.8305380852550663,0.20526315789473684,0.10455764075067024,0.13854351687388988,0.6133038990862746,0.15384615384615385,0.005361930294906166,0.010362694300518135,0.25806451612903225,0.04289544235924933,0.07356321839080458,2862,0.13032844164919635,ADAEUR,2021-04-13,2021-07-13,2021-08-15
7,0.17604183883404895,0.41957308941348226,0.7715277777777778,0.2986666666666667,0.22090729783037474,0.253968253968254,0.6334598387014998,0.3548387096774194,0.04339250493096647,0.0773286467486819,0.2980769230769231,0.1222879684418146,0.17342657342657342,2880,0.17604166666666668,ADAEUR,2021-05-13,2021-08-13,2021-09-15
8,0.10951014645764662,0.33092305610724443,0.8054755043227666,0.19270833333333334,0.24342105263157895,0.21511627906976744,0.6423655467552376,0.1926605504587156,0.06907894736842106,0.10169491525423728,0.21333333333333335,0.15789473684210525,0.18147448015122875,2776,0.10951008645533142,ADAEUR,2021-06-13,2021-09-13,2021-10-15
9,5.32936962739867e-08,5.581227908990563e-08,0.9103915662650602,0.13664596273291926,0.18181818181818182,0.15602836879432627,0.6972924511386049,0.15,0.049586776859504134,0.07453416149068323,0.1,0.0743801652892562,0.08530805687203792,2656,0.04555722891566265,ADAEUR,2021-07-13,2021-10-13,2021-11-15
10,0.13721266230333443,0.3704222410601445,0.8110632183908046,0.24468085106382978,0.1806282722513089,0.2078313253012048,0.5697302858438212,0.3466666666666667,0.06806282722513089,0.11378555798687089,0.27848101265822783,0.11518324607329843,0.16296296296296295,2784,0.1372126436781609,ADAEUR,2021-08-13,2021-11-13,2021-12-15
11,0.1269841346443745,0.3563483186860076,0.6414542415378186,0.1652593486127865,0.4521452145214521,0.24204946996466428,0.5829788241982093,0.0,0.0,0.0,0.0,0.0,0.0,2393,0.12661930631007104,ADAEUR,2021-09-13,2021-12-13,2022-01-15
12,0.1534722381812094,0.39175530199333447,0.734375,0.2181500872600349,0.2828054298642534,0.2463054187192118,0.5959130323423621,0.26848249027237353,0.15610859728506787,0.19742489270386265,0.2518703241895262,0.22850678733031674,0.23962040332147092,2880,0.15347222222222223,ADAEUR,2021-10-13,2022-01-13,2022-02-15
13,0.12510025802918506,0.353695116613643,0.7420778178900923,0.19521178637200737,0.33974358974358976,0.24795321637426898,0.6038823052234331,0.2122905027932961,0.12179487179487179,0.15478615071283094,0.2159090909090909,0.24358974358974358,0.22891566265060243,2493,0.12515042117930206,ADAEUR,2021-11-13,2022-02-13,2022-03-15
14,0.10230657326759915,0.3198539373635545,0.7937453462397617,0.16058394160583941,0.24,0.1924198250728863,0.5881444892726518,0.15789473684210525,0.02181818181818182,0.038338658146964855,0.1927710843373494,0.11636363636363636,0.14512471655328796,2686,0.10238272524199553,ADAEUR,2021-12-13,2022-03-13,2022-04-15
15,0.13537834196930554,0.36793792734934805,0.7609496520671306,0.2787456445993031,0.48484848484848486,0.3539823008849558,0.7286007256665088,0.29044117647058826,0.23939393939393938,0.2624584717607974,0.2917647058823529,0.37575757575757573,0.32847682119205296,2443,0.13507981989357348,ADAEUR,2022-01-13,2022-04-13,2022-05-15
16,0.1750000084690065,0.41833000864784875,0.6444444444444445,0.2440944881889764,0.49206349206349204,0.32631578947368417,0.603673975201753,0.0,0.0,0.0,0.27638190954773867,0.10912698412698413,0.15647226173541962,2880,0.175,ADAEUR,2022-02-13,2022-05-13,2022-06-15
17,0.10344830087893997,0.32163375094320146,0.7377873563218391,0.17210682492581603,0.4027777777777778,0.24116424116424115,0.5894458912037037,0.0,0.0,0.0,0.0,0.0,0.0,2784,0.10344827586206896,ADAEUR,2022-03-13,2022-06-13,2022-07-15
18,2.3291177108451207e-08,2.493732632878567e-08,0.8975047984644914,0.08759124087591241,0.07792207792207792,0.08247422680412371,0.6270644899775866,0.10526315789473684,0.012987012987012988,0.023121387283236997,0.1,0.03896103896103896,0.05607476635514019,2605,0.05911708253358925,ADAEUR,2022-04-13,2022-07-13,2022-08-15
19,2.4087431345816885e-08,2.5249794110630958e-08,0.9279279279279279,0.05063291139240506,0.03305785123966942,0.04,0.5743460414750587,0.0,0.0,0.0,0.0,0.0,0.0,2664,0.045420420420420424,ADAEUR,2022-05-13,2022-08-13,2022-09-15
20,6.136026551057509e-09,6.8694850757420006e-09,0.7681215900233826,0.051457975986277875,0.4166666666666667,0.0916030534351145,0.659468836318275,0.0718954248366013,0.1527777777777778,0.09777777777777777,0.04772727272727273,0.2916666666666667,0.08203125,2566,0.028059236165237724,ADAEUR,2022-06-13,2022-09-13,2022-10-15
21,2.794406617959901e-09,3.340144862423857e-09,0.6069592724396995,0.07352941176470588,0.6048387096774194,0.13111888111888115,0.6487844544296157,0.10843373493975904,0.3629032258064516,0.16697588126159554,0.08368794326241134,0.47580645161290325,0.14234016887816645,2529,0.049031237643337285,ADAEUR,2022-07-13,2022-10-13,2022-11-15
22,2.6007898372630994e-09,3.023728932843402e-09,0.982174688057041,0.0,0.0,0.0,0.5844303750964376,0.0,0.0,0.0,0.0,0.0,0.0,2244,0.016488413547237075,ADAEUR,2022-08-13,2022-11-13,2022-12-15
23,1.65949480651846e-09,1.981876623514687e-09,0.7956937799043062,0.059113300492610835,0.34782608695652173,0.10105263157894737,0.6439343415872469,0.06091370558375635,0.17391304347826086,0.09022556390977443,0.05844155844155844,0.2608695652173913,0.09549071618037135,2090,0.03301435406698565,ADAEUR,2022-09-13,2022-12-13,2023-01-15
24,1.3329119841942985e-09,1.5215208296610538e-09,0.7139146567717997,0.036734693877551024,0.3,0.06545454545454546,0.5790061846875666,0.04941860465116279,0.18888888888888888,0.0783410138248848,0.04595588235294118,0.2777777777777778,0.07886435331230285,2695,0.03339517625231911,ADAEUR,2022-10-13,2023-01-13,2023-02-15
25,1.5786302422407413e-09,1.7239445943989834e-09,0.6350210970464135,0.0304093567251462,0.41935483870967744,0.05670665212649945,0.5104824733046347,0.035483870967741936,0.1774193548387097,0.05913978494623656,0.03164556962025317,0.24193548387096775,0.055970149253731345,2370,0.026160337552742614,ADAEUR,2022-11-13,2023-02-13,2023-03-15
26,1.1695615847632882e-09,1.345274407126126e-09,0.9477582846003899,0.13043478260869565,0.02564102564102564,0.04285714285714286,0.6421254399195575,0.1111111111111111,0.008547008547008548,0.015873015873015876,0.06666666666666667,0.008547008547008548,0.015151515151515154,2565,0.0456140350877193,ADAEUR,2022-12-13,2023-03-13,2023-04-15
27,1.2123442915635124e-09,1.3315588959026435e-09,0.9765537774469669,0.0,0.0,0.0,0.6342278898616928,0.0,0.0,0.0,0.0,0.0,0.0,2687,0.02232973576479345,ADAEUR,2023-01-13,2023-04-13,2023-05-15
28,7.677878395978329e-10,8.749984034556742e-10,0.9679513184584179,0.14285714285714285,0.028985507246376812,0.048192771084337345,0.6634366456170913,0.3333333333333333,0.014492753623188406,0.027777777777777776,0.2222222222222222,0.028985507246376812,0.05128205128205128,2465,0.027991886409736308,ADAEUR,2023-02-13,2023-05-13,2023-06-15
29,9.059749398592706e-10,1.0262409485684054e-09,0.5923597678916828,0.04665071770334928,0.4588235294117647,0.08469055374592833,0.5684376019696835,0.06811145510835913,0.25882352941176473,0.10784313725490197,0.05351170568561873,0.3764705882352941,0.09370424597364567,2068,0.04110251450676983,ADAEUR,2023-03-13,2023-06-13,2023-07-15
30,1.0540332232757351e-09,1.1515699383965004e-09,0.10574837310195227,0.017899761336515514,0.9090909090909091,0.035108250438853135,0.5137877951240735,0.0,0.0,0.0,0.0,0.0,0.0,1844,0.01789587852494577,ADAEUR,2023-04-13,2023-07-13,2023-08-15
31,1.0316210285994344e-09,1.1297758425178868e-09,0.3430232558139535,0.023255813953488372,0.7272727272727273,0.04507042253521126,0.5877137713771377,0.0,0.0,0.0,0.023076923076923078,0.13636363636363635,0.039473684210526314,1032,0.02131782945736434,ADAEUR,2023-05-13,2023-08-13,2023-09-15
32,1.154346464023472e-09,1.1672878960942889e-09,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,83,0.0,ADAEUR,2023-06-13,2023-09-13,2023-10-15
33,0.12970430217731113,0.36014483294871497,0.8657219973009447,0.0,0.0,0.0,0.5611151485788114,0.0,0.0,0.0,0.0,0.0,0.0,1482,0.12955465587044535,ADAEUR,2023-07-13,2023-10-13,2023-11-15
34,0.13183145702776983,0.36308601680361696,0.8622129436325678,0.28125,0.028481012658227847,0.05172413793103448,0.5844840813195243,0.5714285714285714,0.012658227848101266,0.02476780185758514,0.35714285714285715,0.015822784810126583,0.030303030303030304,2395,0.13194154488517745,ADAEUR,2023-08-13,2023-11-13,2023-12-15
35,0.13613505850808674,0.3689648453116573,0.5720445562342795,0.18575851393188855,0.633245382585752,0.2872531418312388,0.6131842707185473,0.0,0.0,0.0,0.0,0.0,0.0,2783,0.13618397412863817,ADAEUR,2023-09-13,2023-12-13,2024-01-15
36,8.445152048842256e-10,9.042172624506361e-10,0.9108658743633277,0.13333333333333333,0.13114754098360656,0.1322314049586777,0.5749445969150387,0.1875,0.04918032786885246,0.07792207792207792,0.21875,0.11475409836065574,0.15053763440860216,1178,0.05178268251273345,ADAEUR,2023-10-13,2024-01-13,2024-02-15
37,0.15424774642608424,0.3927438671934341,0.7721217887725975,0.23809523809523808,0.2153846153846154,0.22617124394184168,0.6052170901692567,0.35789473684210527,0.10461538461538461,0.16190476190476188,0.2937853107344633,0.16,0.20717131474103587,2102,0.15461465271170313,ADAEUR,2023-11-13,2024-02-13,2024-03-15
38,0.11124769587411623,0.33353814615920907,0.7203703703703703,0.20689655172413793,0.5303867403314917,0.29767441860465116,0.707944436552394,0.4,0.03314917127071823,0.06122448979591836,0.302158273381295,0.23204419889502761,0.2625,1620,0.1117283950617284,ADAEUR,2023-12-13,2024-03-13,2024-04-15
39,7.363719532306013e-10,8.45751471471547e-10,0.9102564102564102,0.13636363636363635,0.11538461538461539,0.12499999999999997,0.6863905325443788,0.2857142857142857,0.07692307692307693,0.12121212121212123,0.2,0.11538461538461539,0.14634146341463417,468,0.05555555555555555,ADAEUR,2024-01-13,2024-04-13,2024-05-15
40,9.019022827038016e-10,1.0273358948370143e-09,0.935251798561151,0.0,0.0,0.0,0.700925925925926,0.0,0.0,0.0,0.0,0.0,0.0,278,0.02877697841726619,ADAEUR,2024-02-13,2024-05-13,2024-06-15
41,1.0559637149188644e-09,1.1879763264638995e-09,0.9407407407407408,0.0,0.0,0.0,0.7087053571428572,0.0,0.0,0.0,0.0,0.0,0.0,135,0.05185185185185185,ADAEUR,2024-03-13,2024-06-13,2024-07-15
46,0.4249954742734276,0.44736295074735005,0.3215481950130257,0.25083892617449666,0.9417322834645669,0.3961576681020206,0.5487198968549984,0.0,0.0,0.0,0.0,0.0,0.0,2687,0.236323036844064,ADAEUR,2024-08-13,2024-11-13,2024-12-15
47,0.19806039627860889,0.3712258240906124,0.6988860941430112,0.20516499282639886,0.33489461358313816,0.25444839857651247,0.5705056202112897,0.21495327102803738,0.053864168618266976,0.08614232209737828,0.21470588235294116,0.17096018735362997,0.19035202086049544,2783,0.15343154868846567,ADAEUR,2024-09-13,2024-12-13,2025-01-15
48,0.16661189271137594,0.4078225906343345,0.7477954144620811,0.2545454545454545,0.2669491525423729,0.2605997931747673,0.6260068714719151,0.26666666666666666,0.05084745762711865,0.08540925266903915,0.26506024096385544,0.13983050847457626,0.1830790568654646,2835,0.16649029982363317,ADAEUR,2024-10-13,2025-01-13,2025-02-15
49,0.19292611946049315,0.4392333956636909,0.7030386740331491,0.2840690978886756,0.3523809523809524,0.31455897980871417,0.600441672102631,0.30952380952380953,0.12380952380952381,0.17687074829931973,0.3270440251572327,0.24761904761904763,0.2818428184281843,2172,0.19337016574585636,ADAEUR,2024-11-13,2025-02-13,2025-03-15
50,0.11635060096194295,0.34110201566248444,0.5899280575539568,0.15393939393939393,0.5594713656387665,0.2414448669201521,0.6079794881257159,0.0,0.0,0.0,0.0,0.0,0.0,1946,0.11664953751284686,ADAEUR,2024-12-13,2025-03-13,2025-04-15
51,0.10528275128877798,0.32447300868197043,0.8116858950502419,0.14826498422712933,0.16607773851590105,0.15666666666666668,0.6298593921791126,0.23728813559322035,0.04946996466431095,0.08187134502923976,0.17901234567901234,0.10247349823321555,0.13033707865168542,2687,0.10532192035727578,ADAEUR,2025-01-13,2025-04-13,2025-05-15
