feature,importance
near_resistance,0.13235535
near_support,0.037721828
macd_bullish,0.033330034
volatility_ema_ratio,0.033007294
volatility_breakout,0.032652073
atr,0.029908124
price_vs_ema21,0.027962588
roc_10,0.027613502
bb_rsi_signal,0.027322507
rsi,0.026899816
volatility_20,0.026821453
price_vs_ema9,0.026497735
price_vs_sma200,0.026490608
momentum_10,0.026216
volume_price_momentum,0.025794107
trend_strength,0.025652839
candle_body,0.025552288
bb_width,0.025206575
price_change_4h,0.02502576
upper_wick,0.024856512
lower_wick,0.024843585
returns,0.024720347
volume_ratio,0.024643237
macd_histogram,0.024640165
lstm_delta,0.02461347
day_of_week,0.024518628
macd,0.024274085
price_vs_vwap,0.02422064
rsi_macd_combo,0.024123717
hour,0.023614097
price_change_1h,0.02353184
volume_change,0.023208244
bb_position,0.023160681
is_weekend,0.019000292
rsi_overbought,0.0
rsi_oversold,0.0
