feature,importance
spread,0.059879355
atr_ratio,0.056323033
returns_std_10,0.02531705
hour,0.019859025
ema21_vs_ema50,0.019093584
net_pressure,0.018466337
vol_regime,0.018007148
trend_momentum_align,0.01657269
volume_ratio,0.016204184
volatility_ema_ratio,0.016049262
atr,0.015891323
log_returns,0.015801342
consolidation_regime,0.015569974
volume_zscore,0.015509449
volatility_regime_signal,0.015237771
returns_skew_20,0.014681337
rsi_macd_combo,0.013674596
lstm_delta,0.013240524
trend_regime,0.0131426435
near_support,0.012991316
price_vs_sma200,0.012932443
rsi,0.012700481
price_change_1h,0.012430932
volatility_breakout,0.012420606
rsi_divergence,0.01215441
bb_position,0.011930958
returns_lag_1,0.011790851
stoch_d,0.011777233
bb_width,0.011691298
volume_price_trend,0.011658718
rsi_21,0.011620088
volatility_50,0.0112124765
log_returns_lag_1,0.011080549
price_vs_vwap,0.011078465
returns_lag_5,0.010940639
macd,0.010741794
realized_vol_5,0.01073782
returns_kurt_20,0.010601836
upper_wick,0.010334761
buying_pressure,0.010303478
returns_lag_2,0.010101015
price_change_4h,0.010062054
ma_slope_9,0.0100219585
macd_signal,0.009951133
ma_slope_21,0.009918792
price_change_24h,0.0098998835
trend_strength,0.009816293
volume_change,0.009751663
volume_price_momentum,0.009713031
price_vs_ema9,0.009657671
returns_lag_10,0.009517982
returns_lag_3,0.009491451
ema50_vs_ema100,0.0093684085
momentum_10,0.0093494635
log_returns_lag_2,0.009315532
volume_weighted_price,0.009139497
bb_rsi_signal,0.009138188
lower_wick,0.009039009
pressure_volume_signal,0.009032951
price_zscore_20,0.008966486
roc_10,0.008753681
returns,0.008746814
selling_pressure,0.008485464
ema9_vs_ema21,0.008434222
log_returns_lag_3,0.0083154
stoch_k,0.008221221
volatility_ratio,0.008217155
spread_ratio,0.008106275
multi_timeframe_signal,0.007821009
returns_mean_10,0.0077550816
williams_r,0.007634431
candle_body,0.007615969
rsi_9,0.0075237593
volatility_20,0.007504988
day_of_week,0.0073541426
price_zscore_50,0.006905456
price_vs_ema50,0.0066677458
macd_histogram,0.006479944
momentum_vol_signal,0.005889919
realized_vol_20,0.0056103943
price_vs_ema21,0.0050731353
ma_alignment,0.0036886686
is_weekend,0.0034267204
oscillator_consensus,0.0024401583
near_resistance,0.00042394488
rsi_oversold,0.0
rsi_overbought,0.0
macd_bullish,0.0
stoch_oversold,0.0
stoch_overbought,0.0
