feature,importance
atr,0.098354004
volatility_breakout,0.049498785
volatility_20,0.04426497
rsi_oversold,0.035974544
bb_position,0.035711814
roc_10,0.035102036
upper_wick,0.032768905
bb_rsi_signal,0.032141708
macd_histogram,0.031663667
price_vs_ema21,0.031419728
price_vs_ema9,0.029618189
volatility_ema_ratio,0.02939532
volume_price_momentum,0.029038386
price_change_1h,0.028497407
price_vs_sma200,0.02817192
lstm_delta,0.027585743
volume_ratio,0.026898775
price_vs_vwap,0.026705319
hour,0.02654048
trend_strength,0.02638105
rsi,0.02611708
candle_body,0.025737168
bb_width,0.02518227
rsi_macd_combo,0.025157161
lower_wick,0.02420939
returns,0.023924602
macd,0.02384009
volume_change,0.023591518
momentum_10,0.022709645
day_of_week,0.022182925
price_change_4h,0.02115939
near_support,0.020886803
is_weekend,0.00956929
rsi_overbought,0.0
macd_bullish,0.0
near_resistance,0.0
