feature,importance
atr,0.039409433
is_weekend,0.035011075
volatility_ema_ratio,0.03302406
rsi,0.030773463
macd_bullish,0.030618517
roc_10,0.030465076
bb_rsi_signal,0.029728824
rsi_macd_combo,0.02950916
price_vs_ema9,0.029316375
volume_price_momentum,0.029149452
macd_histogram,0.028901692
upper_wick,0.028771859
bb_width,0.028241009
volatility_breakout,0.028105391
price_vs_ema21,0.028092077
day_of_week,0.028002225
momentum_10,0.027637124
price_change_4h,0.027579045
volume_ratio,0.02756293
candle_body,0.027435172
price_change_1h,0.027372455
bb_position,0.027317557
trend_strength,0.027222548
lower_wick,0.026985997
price_vs_sma200,0.026640702
hour,0.026484478
price_vs_vwap,0.02645335
macd,0.026421575
returns,0.026370192
volume_change,0.026307356
volatility_20,0.026014093
near_resistance,0.024970382
near_support,0.02481211
lstm_delta,0.023616167
rsi_overbought,0.021725224
rsi_oversold,0.013951857
