window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
1,0.4174802924391787,0.4470531396494508,0.7427269540834209,0.0,0.0,0.0,0.5947159024422861,0.0,0.0,0.0,0.0,0.0,0.0,2853,0.257273045916579,ADAEUR,2022-09-13,2023-01-13,2023-02-15
2,0.37769401362015376,0.4573634059873164,0.707308116048476,0.43137254901960786,0.027848101265822784,0.05231866825208086,0.5680525450699705,0.0,0.0,0.0,0.5454545454545454,0.015189873417721518,0.02955665024630542,2723,0.29012118986412044,ADAEUR,2022-11-13,2023-03-13,2023-04-15
3,0.29544894311051356,0.3803861307228844,0.8092369477911646,0.4032258064516129,0.11086474501108648,0.17391304347826086,0.6388196248541469,0.3983739837398374,0.10864745011086474,0.17073170731707313,0.3983739837398374,0.10864745011086474,0.17073170731707313,2490,0.18112449799196786,ADAEUR,2023-01-13,2023-05-13,2023-06-15
4,0.3276838243217565,0.3792198104948293,0.8298115362649914,0.5,0.010067114093959731,0.019736842105263153,0.624558307967316,1.0,0.006711409395973154,0.013333333333333332,1.0,0.006711409395973154,0.013333333333333332,1751,0.17018846373500857,ADAEUR,2023-03-13,2023-07-13,2023-08-15
5,0.09602400744861027,0.11665305110120448,0.9423076923076923,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,52,0.057692307692307696,ADAEUR,2023-05-13,2023-09-13,2023-10-15
6,0.4359724767037654,0.4940459142026941,0.625,0.6,0.003444316877152698,0.00684931506849315,0.49935225924843063,0.6,0.003444316877152698,0.00684931506849315,0.6,0.003444316877152698,0.00684931506849315,2320,0.3754310344827586,ADAEUR,2023-07-13,2023-11-13,2023-12-15
7,0.43556181957911966,0.4891345307594939,0.6463195691202872,0.34782608695652173,0.11142061281337047,0.16877637130801687,0.5175708830636979,0.42857142857142855,0.025069637883008356,0.04736842105263158,0.34210526315789475,0.10863509749303621,0.1649048625792812,1114,0.322262118491921,ADAEUR,2023-09-13,2024-01-13,2024-02-15
8,0.452084264246679,0.4821642992986957,0.6321138211382114,0.427536231884058,0.2345924453280318,0.3029525032092426,0.5471845187865612,0.5348837209302325,0.09145129224652088,0.15619694397283534,0.5196078431372549,0.10536779324055666,0.17520661157024794,1476,0.3407859078590786,ADAEUR,2023-11-13,2024-03-13,2024-04-15
9,0.31112387266922864,0.46000917563059834,0.7567567567567568,0.0,0.0,0.0,0.490203373015873,0.0,0.0,0.0,0.0,0.0,0.0,148,0.24324324324324326,ADAEUR,2024-01-13,2024-05-13,2024-06-15
10,0.48831452429294586,0.4883145410888096,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,ADAEUR,2024-03-13,2024-07-13,2024-08-15
12,0.5009502554803261,0.5080933151863636,0.4779969650986343,0.3625,0.04354354354354354,0.0777479892761394,0.42714119410821866,0.0,0.0,0.0,0.0,0.0,0.0,2636,0.5053110773899848,ADAEUR,2024-07-13,2024-11-13,2024-12-15
13,0.473223919772237,0.4875630676727761,0.6033440056919246,0.5243770314192849,0.41724137931034483,0.4647143542966875,0.6188824954572986,0.7125,0.04913793103448276,0.09193548387096774,0.5932203389830508,0.15086206896551724,0.24054982817869416,2811,0.4126645321949484,ADAEUR,2024-09-13,2025-01-13,2025-02-15
14,0.4685394717350068,0.4858634057376278,0.6460032626427407,0.5144927536231884,0.3212669683257919,0.39554317548746515,0.6110764818748011,0.0,0.0,0.0,0.5177304964539007,0.11010558069381599,0.181592039800995,1839,0.3605220228384992,ADAEUR,2024-11-13,2025-03-13,2025-04-15
15,0.4426923978688388,0.47268341518493723,0.6810344827586207,0.0,0.0,0.0,0.5686509294104232,0.0,0.0,0.0,0.0,0.0,0.0,348,0.31896551724137934,ADAEUR,2025-02-25,2025-06-25,2025-07-27
