window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
1,0.39994526410993564,0.43312580229338854,0.8055857816467175,0.48,0.022429906542056073,0.04285714285714285,0.6364628986263113,0.4782608695652174,0.020560747663551402,0.03942652329749104,0.4782608695652174,0.020560747663551402,0.03942652329749104,2757,0.19405150525933987,BTCEUR,2024-02-01,2024-04-01,2024-05-03
2,0.24566038427639095,0.3358407686821284,0.8819277108433735,0.0,0.0,0.0,0.5246381794976643,0.0,0.0,0.0,0.0,0.0,0.0,2490,0.1180722891566265,BTCEUR,2024-03-01,2024-05-01,2024-06-03
3,0.13229372413324977,0.1641237065669922,0.936589208349744,0.03125,0.007633587786259542,0.012269938650306749,0.5052401663665644,0.0,0.0,0.0,0.0,0.0,0.0,2539,0.051595116187475386,BTCEUR,2024-04-01,2024-06-01,2024-07-03
4,0.282019144620732,0.37625853966537454,0.830354013319313,0.0,0.0,0.0,0.5516930113134879,0.0,0.0,0.0,0.0,0.0,0.0,2853,0.169645986680687,BTCEUR,2024-05-01,2024-07-01,2024-08-03
5,0.2864431121249158,0.39003691960274495,0.8110760602874167,0.39814814814814814,0.08317214700193423,0.1376,0.5470368763413794,0.0,0.0,0.0,0.39814814814814814,0.08317214700193423,0.1376,2853,0.18121275849982474,BTCEUR,2024-06-01,2024-08-01,2024-09-03
6,0.23496878002410485,0.3487462592608247,0.86253173739572,0.0,0.0,0.0,0.5692861787138479,0.0,0.0,0.0,0.0,0.0,0.0,2757,0.13746826260428002,BTCEUR,2024-07-01,2024-09-01,2024-10-03
7,0.17137519132490853,0.3121661419351231,0.8916929547844374,0.0,0.0,0.0,0.5400517239624676,0.0,0.0,0.0,0.0,0.0,0.0,2853,0.10830704521556257,BTCEUR,2024-08-01,2024-10-01,2024-11-03
8,0.2527531230903954,0.41183320659662853,0.7972433804860355,0.0,0.0,0.0,0.6104374443509387,0.0,0.0,0.0,0.0,0.0,0.0,2757,0.20275661951396445,BTCEUR,2024-09-01,2024-11-01,2024-12-03
9,0.32002209579455215,0.38441801742868076,0.7861899754644234,0.3286219081272085,0.18128654970760233,0.23366834170854273,0.6036932906815947,0.425,0.03313840155945419,0.06148282097649186,0.425,0.03313840155945419,0.06148282097649186,2853,0.17981072555205047,BTCEUR,2024-10-01,2024-12-01,2025-01-03
10,0.25288499192760056,0.35991171915465014,0.8412197686645636,1.0,0.010917030567685589,0.02159827213822894,0.6356227949421558,1.0,0.010917030567685589,0.02159827213822894,1.0,0.010917030567685589,0.02159827213822894,2853,0.16053277252015422,BTCEUR,2024-11-01,2025-01-01,2025-02-03
11,0.2401270941894712,0.32932603883582584,0.8444444444444444,0.2635135135135135,0.11854103343465046,0.16352201257861637,0.6618343927225669,0.17647058823529413,0.00911854103343465,0.017341040462427744,0.2413793103448276,0.0425531914893617,0.07235142118863049,2565,0.12826510721247564,BTCEUR,2024-12-01,2025-02-01,2025-03-03
12,0.2952310611731205,0.37726101758607183,0.8377146862951279,0.0,0.0,0.0,0.607251687647415,0.0,0.0,0.0,0.0,0.0,0.0,2853,0.16228531370487206,BTCEUR,2025-01-01,2025-03-01,2025-04-03
13,0.2395669880633384,0.3591324467385564,0.8476605005440696,0.0,0.0,0.0,0.6161531878476679,0.0,0.0,0.0,0.0,0.0,0.0,2757,0.15233949945593037,BTCEUR,2025-02-01,2025-04-01,2025-05-03
14,0.19421950127646104,0.31390447496995644,0.8930949877322117,0.0,0.0,0.0,0.622331240188383,0.0,0.0,0.0,0.0,0.0,0.0,2853,0.1069050122677883,BTCEUR,2025-03-01,2025-05-01,2025-06-03
15,0.0005334428635324491,0.0006175015137859363,0.959731543624161,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,447,0.040268456375838924,BTCEUR,2025-04-24,2025-06-24,2025-07-26
