window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
1,0.4674569123452253,0.47675739695647734,0.6497199482981474,0.441747572815534,0.23790849673202613,0.30926083262531856,0.5868516558294269,0.0,0.0,0.0,0.5,0.058823529411764705,0.10526315789473684,2321,0.3295993106419647,SOLEUR,2022-09-28,2023-01-28,2023-02-28
2,0.43191770037819194,0.44953637886296616,0.7347107438016529,0.39473684210526316,0.04792332268370607,0.08547008547008547,0.6002485209840398,0.0,0.0,0.0,0.0,0.0,0.0,2420,0.25867768595041324,SOLEUR,2022-11-28,2023-03-28,2023-04-30
3,0.4573118284753547,0.47886124391414564,0.6211750305997552,0.4576719576719577,0.29471890971039183,0.35854922279792745,0.5726168219737093,0.5416666666666666,0.022146507666098807,0.0425531914893617,0.4562334217506631,0.293015332197615,0.35684647302904565,1634,0.35924112607099146,SOLEUR,2023-01-28,2023-05-28,2023-06-30
4,0.3697328198266485,0.4283889250760622,0.7657180675049636,0.4,0.08235294117647059,0.13658536585365855,0.5223966443964434,0.7777777777777778,0.020588235294117647,0.040114613180515755,0.4666666666666667,0.020588235294117647,0.039436619718309855,1511,0.22501654533421575,SOLEUR,2023-03-28,2023-07-28,2023-08-30
5,0.4524891838487997,0.5089132573703294,0.582409972299169,0.0,0.0,0.0,0.5530423585599549,0.0,0.0,0.0,0.0,0.0,0.0,1444,0.41759002770083103,SOLEUR,2023-05-28,2023-09-28,2023-10-30
6,0.5021235459539222,0.50645387344915,0.5165034457743924,0.6,0.011210762331838564,0.02201027146001467,0.522424948199273,0.0,0.0,0.0,0.0,0.0,0.0,2757,0.485310119695321,SOLEUR,2023-07-28,2023-11-28,2023-12-30
7,0.42502511263780074,0.4751898254075371,0.6713819368879217,0.1,0.0011135857461024498,0.0022026431718061676,0.5203030223160426,0.0,0.0,0.0,0.0,0.0,0.0,2757,0.3257163583605368,SOLEUR,2023-09-28,2024-01-28,2024-02-29
8,0.44735657526888517,0.4768558732495846,0.5839467227479845,0.4458940905602456,0.5554493307839388,0.4946785866326096,0.599111062672145,0.5585585585585585,0.05927342256214149,0.10717372515125323,0.5142857142857142,0.27533460803059273,0.3586550435865504,2853,0.3666316158429723,SOLEUR,2023-11-28,2024-03-28,2024-04-30
9,0.4085526105526026,0.4361652959046933,0.7582329317269076,0.5,0.008305647840531562,0.016339869281045753,0.5377066733768793,0.5,0.008305647840531562,0.016339869281045753,0.5,0.008305647840531562,0.016339869281045753,2490,0.24176706827309236,SOLEUR,2024-01-28,2024-05-28,2024-06-30
10,0.4486145872883076,0.46521213643154447,0.6687408491947291,0.5023696682464455,0.23373759647188533,0.3190368698269375,0.5896425065321473,0.5555555555555556,0.011025358324145534,0.021621621621621623,0.5555555555555556,0.011025358324145534,0.021621621621621623,2732,0.33199121522694,SOLEUR,2024-03-28,2024-07-28,2024-08-30
11,0.40624431350893897,0.45392636500602757,0.7143399089529591,1.0,0.005284015852047556,0.010512483574244415,0.5191717818367931,1.0,0.003963011889035667,0.007894736842105263,1.0,0.005284015852047556,0.010512483574244415,2636,0.2871775417298938,SOLEUR,2024-05-28,2024-09-28,2024-10-30
12,0.45760549554087177,0.47917828998971873,0.6430903155603918,0.3893805309734513,0.09421841541755889,0.1517241379310345,0.503828665599331,0.5,0.007494646680942184,0.014767932489451479,0.3972602739726027,0.031049250535331904,0.05759682224428996,2757,0.3387740297424737,SOLEUR,2024-07-28,2024-11-28,2024-12-30
13,0.441270878007205,0.46939038695599544,0.6242014280345735,0.47235023041474655,0.43067226890756305,0.4505494505494506,0.6179061296841734,0.0,0.0,0.0,0.5572519083969466,0.23004201680672268,0.32565055762081785,2661,0.35776024051108607,SOLEUR,2024-09-28,2025-01-28,2025-02-28
14,0.44149207087449766,0.4678471439137873,0.6631615842972309,0.5789473684210527,0.011410788381742738,0.022380467955239066,0.5993914868566433,0.6111111111111112,0.011410788381742738,0.022403258655804482,0.6111111111111112,0.011410788381742738,0.022403258655804482,2853,0.3378899404135997,SOLEUR,2024-11-28,2025-03-28,2025-04-30
15,0.3768285325704477,0.4296347217206992,0.7542735042735043,0.0,0.0,0.0,0.4949624337972657,0.0,0.0,0.0,0.0,0.0,0.0,468,0.24572649572649571,SOLEUR,2025-02-25,2025-06-25,2025-07-27
