window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
1,0.39075861912836374,0.4300928436888605,0.7588809946714032,0.0,0.0,0.0,0.5592853132640867,0.0,0.0,0.0,0.0,0.0,0.0,2252,0.2411190053285968,XRPEUR,2022-09-03,2023-01-03,2023-02-05
2,0.4342518742914242,0.48303076265151046,0.6632390745501285,0.0,0.0,0.0,0.48849617958314157,0.0,0.0,0.0,0.0,0.0,0.0,2723,0.33676092544987146,XRPEUR,2022-11-03,2023-03-03,2023-04-05
3,0.25127447379342027,0.3809470044193994,0.8279648609077599,0.0,0.0,0.0,0.587970069793254,0.0,0.0,0.0,0.0,0.0,0.0,2732,0.1720351390922401,XRPEUR,2023-01-03,2023-05-03,2023-06-05
4,0.3016830732793085,0.40808858547500204,0.780380673499268,0.6666666666666666,0.009950248756218905,0.0196078431372549,0.6340915588022001,0.0,0.0,0.0,0.6666666666666666,0.006633499170812604,0.013136288998357965,2732,0.22071742313323572,XRPEUR,2023-03-03,2023-07-03,2023-08-05
5,0.19478665937660167,0.3168701268680886,0.8920776071139854,0.0,0.0,0.0,0.5767722381459062,0.0,0.0,0.0,0.0,0.0,0.0,2474,0.10792239288601455,XRPEUR,2023-05-03,2023-09-03,2023-10-05
6,0.32759006554485415,0.4144731971701711,0.7866549604916594,0.46511627906976744,0.041407867494824016,0.07604562737642585,0.6242166819495146,0.53125,0.035196687370600416,0.06601941747572816,0.48717948717948717,0.039337474120082816,0.0727969348659004,2278,0.21202809482001755,XRPEUR,2023-07-03,2023-11-03,2023-12-05
7,0.2701485643741847,0.3785865366004051,0.8199095022624434,0.47619047619047616,0.050505050505050504,0.091324200913242,0.5753483010925128,0.0,0.0,0.0,0.0,0.0,0.0,1105,0.17918552036199095,XRPEUR,2023-09-03,2024-01-03,2024-02-05
8,0.38333838096068845,0.4648148572618212,0.7108387590961317,0.5470085470085471,0.0835509138381201,0.144960362400906,0.5720138402428411,0.0,0.0,0.0,0.5470085470085471,0.0835509138381201,0.144960362400906,2611,0.29337418613558025,XRPEUR,2023-11-03,2024-03-03,2024-04-05
9,0.19865587273092356,0.32051984812660567,0.8790786948176583,0.0,0.0,0.0,0.6005234460196291,0.0,0.0,0.0,0.0,0.0,0.0,1042,0.1199616122840691,XRPEUR,2024-01-03,2024-05-03,2024-06-05
10,0.43205397777797466,0.4946130550205132,0.6352598348712968,0.5076923076923077,0.043882978723404256,0.08078335373317014,0.502842204007879,0.5076923076923077,0.043882978723404256,0.08078335373317014,0.5076923076923077,0.043882978723404256,0.08078335373317014,2059,0.3652258377853327,XRPEUR,2024-03-03,2024-07-03,2024-08-05
11,0.3680799116127887,0.43035645147793283,0.708130081300813,0.3829787234042553,0.22857142857142856,0.28628230616302186,0.6038268713678551,0.4,0.006349206349206349,0.0125,0.5,0.015873015873015872,0.03076923076923077,1230,0.25609756097560976,XRPEUR,2024-05-03,2024-09-03,2024-10-05
12,0.510210305376061,0.5421320672074236,0.4320940819423369,0.26785714285714285,0.010197144799456152,0.019646365422396856,0.47444878524141987,0.26785714285714285,0.010197144799456152,0.019646365422396856,0.26785714285714285,0.010197144799456152,0.019646365422396856,2636,0.5580424886191199,XRPEUR,2024-07-03,2024-11-03,2024-12-05
13,0.4292089549274224,0.48558208732189767,0.6281107606028742,0.6451612903225806,0.018691588785046728,0.036330608537693,0.6130924987289091,0.9230769230769231,0.011214953271028037,0.0221606648199446,0.9230769230769231,0.011214953271028037,0.0221606648199446,2853,0.37504381352961796,XRPEUR,2024-09-03,2025-01-03,2025-02-05
14,0.41780692852210244,0.47606870491504627,0.66398243045388,0.3333333333333333,0.003278688524590164,0.006493506493506494,0.6072647220693451,0.0,0.0,0.0,0.3333333333333333,0.003278688524590164,0.006493506493506494,2732,0.3349194729136164,XRPEUR,2024-11-03,2025-03-03,2025-04-05
15,0.33472090197774845,0.4317628530991666,0.7670940170940171,0.0,0.0,0.0,0.4918351179371854,0.0,0.0,0.0,0.0,0.0,0.0,468,0.2329059829059829,XRPEUR,2025-02-25,2025-06-25,2025-07-27
