window,lstm_mae,lstm_rmse,xgb_accuracy,xgb_precision,xgb_recall,xgb_f1,xgb_auc,conf_precision_70,conf_recall_70,conf_f1_70,conf_precision_60,conf_recall_60,conf_f1_60,test_samples,test_positive_ratio,symbol,train_start,train_end,test_end
1,0.10993972365720169,0.13052808381827474,0.505118249205789,0.3114369501466276,0.6996047430830039,0.4310064935064935,0.595047790385512,0.6,0.007905138339920948,0.015604681404421327,0.38461538461538464,0.19104084321475626,0.25528169014084506,2833,0.2679138722202612,SOLEUR,2021-05-28,2021-08-28,2021-09-30
2,0.013408811122420334,0.022200458154306144,0.6049562682215743,0.22263109475620976,0.5031185031185031,0.3086734693877551,0.5982950896782094,0.0,0.0,0.0,0.0,0.0,0.0,2744,0.17529154518950438,SOLEUR,2021-06-28,2021-09-28,2021-10-30
3,0.006164920902335917,0.00878527413145377,0.7557894736842106,0.24438902743142144,0.19959266802443992,0.21973094170403587,0.5916587597526999,0.30434782608695654,0.028513238289205704,0.0521415270018622,0.23880597014925373,0.06517311608961303,0.10239999999999998,2850,0.17228070175438598,SOLEUR,2021-07-28,2021-10-28,2021-11-30
4,0.00496731809475231,0.006580798655244992,0.7326250553342187,0.26588235294117646,0.27901234567901234,0.27228915662650605,0.6030644452435175,0.330188679245283,0.08641975308641975,0.136986301369863,0.29245283018867924,0.15308641975308643,0.20097244732576988,2259,0.17928286852589642,SOLEUR,2021-08-28,2021-11-28,2021-12-30
5,0.004357342906673039,0.005967282689920559,0.7346723044397463,0.2476340694006309,0.3625866050808314,0.29428303655107774,0.6409020852438867,0.2631578947368421,0.17321016166281755,0.20891364902506962,0.24942263279445728,0.24942263279445728,0.24942263279445728,2838,0.1525722339675828,SOLEUR,2021-09-28,2021-12-28,2022-01-30
6,0.004237902203167449,0.005564070360927249,0.6617424242424242,0.2140266021765417,0.42142857142857143,0.28388131515637527,0.6048981123981124,0.265625,0.12142857142857143,0.16666666666666663,0.23275862068965517,0.2571428571428571,0.24434389140271492,2640,0.1590909090909091,SOLEUR,2021-10-28,2022-01-28,2022-02-28
7,0.0032848686128722736,0.004245675295690256,0.7868967946460022,0.14395886889460155,0.17073170731707318,0.15620641562064158,0.5773049800390477,0.21428571428571427,0.036585365853658534,0.0625,0.15591397849462366,0.08841463414634146,0.11284046692607004,2839,0.11553363860514265,SOLEUR,2021-11-28,2022-02-28,2022-04-02
8,0.00334502284520381,0.0043929060013511,0.8068941259233204,0.17746478873239438,0.196875,0.18666666666666668,0.6177900812524771,0.16417910447761194,0.034375,0.05684754521963824,0.14893617021276595,0.0875,0.11023622047244093,2843,0.11255715793176223,SOLEUR,2021-12-28,2022-03-28,2022-04-30
9,0.005505832864933012,0.00764992592879503,0.7263772345859175,0.26614481409001955,0.26614481409001955,0.26614481409001955,0.5810149798601179,0.30472103004291845,0.13894324853228962,0.19086021505376344,0.2857142857142857,0.19960861056751467,0.23502304147465436,2741,0.18642831083546152,SOLEUR,2022-01-28,2022-04-28,2022-05-30
10,0.005550496502324885,0.007307090681718973,0.40755116443189837,0.21417404898384576,0.7061855670103093,0.3286685325869652,0.512028635867011,0.0,0.0,0.0,0.0,0.0,0.0,2834,0.205363443895554,SOLEUR,2022-02-28,2022-05-28,2022-06-30
11,0.0039740782047244395,0.005181247252506129,0.5977429923552967,0.18207024029574861,0.4724220623501199,0.26284189459639756,0.5576398966663579,0.0,0.0,0.0,0.0,0.0,0.0,2747,0.15180196578085184,SOLEUR,2022-03-28,2022-06-28,2022-07-30
